KundeNr	Niederlassung
K0001	Sachsen
K0002	NRW
K0003	Hessen
K0004	Bayern
K0005	Bayern
K0006	Baden-Württemberg
K0007	Nordrhein-Westfalen
K0008	Berlin
K0009	Bayern
K0010	Berlin
K0011	Nordrhein-Westfalen
K0012	Baden-Württemberg
K0013	Nordrhein-Westfalen
K0014	Sachsen
K0015	Sachsen
K0016	Berlin
K0017	Bayern
K0018	Berlin
K0019	Bayern
K0020	Baden-Württemberg
K0021	Hessen
K0022	Berlin
K0023	NRW
K0024	Baden-Württemberg
K0025	Niedersachsen
K0026	Nordrhein-Westfalen
K0027	Nordrhein-Westfalen
K0028	Sachsen
K0029	Nordrhein-Westfalen
K0030	Sachsen
K0031	Bayern
K0032	Brandenburg
K0033	Baden-Württemberg
K0034	Baden-Württemberg
K0035	Bayern
K0036	Baden-Württemberg
K0037	Bayern
K0038	Baden-Württemberg
K0039	Baden-Württemberg
K0040	Sachsen
K0041	Baden-Württemberg
K0042	Nordrhein-Westfalen
K0043	Baden-Württemberg
K0044	Sachsen
K0045	Sachsen
K0046	Niedersachsen
K0047	Niedersachsen
K0048	Baden-Württemberg
K0049	Thüringen
K0050	Nordrhein-Westfalen
K0051	Sachsen
K0052	Niedersachsen
K0053	Bayern
K0054	Sachsen
K0055	Bayern
K0056	Hessen
K0057	Baden-Württemberg
K0058	Sachsen
K0059	Baden-Württemberg
K0060	Bayern
K0061	Hessen
K0062	Nordrhein-Westfalen
K0063	Hessen
K0064	Bayern
K0065	Baden-Württemberg
K0066	Nordrhein-Westfalen
K0067	Thüringen
K0068	Nordrhein-Westfalen
K0069	Berlin
K0070	Sachsen
K0071	Berlin
K0072	Hamburg
K0073	Berlin
K0074	Berlin
K0075	Nordrhein-Westfalen
K0076	Hamburg
K0077	Bayern
K0078	Bayern
K0079	Baden-Württemberg
K0080	Hessen
K0081	Bayern
K0082	Baden-Württemberg
K0083	Niedersachsen
K0084	Niedersachsen
K0085	Nordrhein-Westfalen
K0086	Brandenburg
K0087	Sachsen
K0088	Sachsen
K0089	Nordrhein-Westfalen
K0090	Niedersachsen
K0091	Bayern
K0092	Thüringen
K0093	Bayern
K0094	Bayern
K0095	Berlin
K0096	Baden-Württemberg
K0097	Thüringen
K0098	Hessen
K0099	Hessen
K0100	Niedersachsen
K0101	Brandenburg
K0102	Baden-Württemberg
K0103	Hessen
K0104	Niedersachsen
K0105	Berlin
K0106	Nordrhein-Westfalen
K0107	Bayern
K0108	Bayern
K0109	Baden-Württemberg
K0110	Berlin
K0111	Nordrhein-Westfalen
K0112	Nordrhein-Westfalen
K0113	Berlin
K0114	Hessen
K0115	Nordrhein-Westfalen
K0116	Bayern
K0117	Baden-Württemberg
K0118	Thüringen
K0119	Hessen
K0120	Thüringen
K0121	Bayern
K0122	Niedersachsen
K0123	Bayern
K0124	Bayern
K0125	Hamburg
K0126	Bayern
K0127	Baden-Württemberg
K0128	Bayern
K0129	Baden-Württemberg
K0130	Niedersachsen
K0131	Brandenburg
K0132	Baden-Württemberg
K0133	Baden-Württemberg
K0134	Baden-Württemberg
K0135	Hessen
K0136	Baden-Württemberg
K0137	Nordrhein-Westfalen
K0138	Baden-Württemberg
K0139	Bayern
K0140	Sachsen
K0141	Niedersachsen
K0142	Baden-Württemberg
K0143	Nordrhein-Westfalen
K0144	Brandenburg
K0145	Nordrhein-Westfalen
K0146	Hessen
K0147	Niedersachsen
K0148	Thüringen
K0149	Bayern
K0150	Hessen
K0151	Berlin
K0152	Baden-Württemberg
K0153	Baden-Württemberg
K0154	Baden-Württemberg
K0155	Niedersachsen
K0156	Hessen
K0157	Hessen
K0158	Baden-Württemberg
K0159	Berlin
K0160	Sachsen
K0161	Berlin
K0162	Hessen
K0163	Nordrhein-Westfalen
K0164	Nordrhein-Westfalen
K0165	Hamburg
K0166	Nordrhein-Westfalen
K0167	Berlin
K0168	Sachsen
K0169	Bayern
K0170	Bayern
K0171	Baden-Württemberg
K0172	Nordrhein-Westfalen
K0173	Berlin
K0174	Bayern
K0175	Bayern
K0176	Sachsen
K0177	Nordrhein-Westfalen
K0178	Hessen
K0179	Hessen
K0180	Berlin
K0181	Berlin
K0182	Sachsen
K0183	Baden-Württemberg
K0184	Berlin
K0185	Bayern
K0186	Brandenburg
K0187	Berlin
K0188	Hamburg
K0189	Baden-Württemberg
K0190	Hamburg
K0191	Bayern
K0192	Baden-Württemberg
K0193	Baden-Württemberg
K0194	Nordrhein-Westfalen
K0195	Berlin
K0196	Hessen
K0197	Nordrhein-Westfalen
K0198	Niedersachsen
K0199	Berlin
K0200	Berlin
K0201	Berlin
K0202	Niedersachsen
K0203	Brandenburg
K0204	Nordrhein-Westfalen
K0205	Nordrhein-Westfalen
K0206	Baden-Württemberg
K0207	Baden-Württemberg
K0208	Niedersachsen
K0209	Bayern
K0210	Baden-Württemberg
K0211	Sachsen
K0212	Bayern
K0213	Sachsen
K0214	Niedersachsen
K0215	Nordrhein-Westfalen
K0216	Bayern
K0217	Bayern
K0218	Hamburg
K0219	Baden-Württemberg
K0220	Bayern
K0221	Bayern
K0222	Baden-Württemberg
K0223	Bayern
K0224	Nordrhein-Westfalen
K0225	Baden-Württemberg
K0226	Baden-Württemberg
K0227	Hessen
K0228	Thüringen
K0229	Bayern
K0230	Baden-Württemberg
K0231	Hessen
K0232	Sachsen
K0233	Nordrhein-Westfalen
K0234	Hessen
K0235	Bayern
K0236	Hamburg
K0237	Baden-Württemberg
K0238	Niedersachsen
K0239	Nordrhein-Westfalen
K0240	Thüringen
K0241	Bayern
K0242	Baden-Württemberg
K0243	Hamburg
K0244	Niedersachsen
K0245	Nordrhein-Westfalen
K0246	Baden-Württemberg
K0247	Bayern
K0248	Hamburg
K0249	Bayern
K0250	Nordrhein-Westfalen
K0251	Berlin
K0252	Nordrhein-Westfalen
K0253	Hessen
K0254	Nordrhein-Westfalen
K0255	Bayern
K0256	Nordrhein-Westfalen
K0257	Bayern
K0258	Hamburg
K0259	Bayern
K0260	Berlin
K0261	Bayern
K0262	Bayern
K0263	Thüringen
K0264	Baden-Württemberg
K0265	Nordrhein-Westfalen
K0266	Thüringen
K0267	Baden-Württemberg
K0268	Niedersachsen
K0269	Bayern
K0270	Baden-Württemberg
K0271	Berlin
K0272	Sachsen
K0273	Baden-Württemberg
K0274	Hessen
K0275	Brandenburg
K0276	Nordrhein-Westfalen
K0277	Baden-Württemberg
K0278	Niedersachsen
K0279	Niedersachsen
K0280	Niedersachsen
K0281	Sachsen
K0282	Nordrhein-Westfalen
K0283	Baden-Württemberg
K0284	Berlin
K0285	Berlin
K0286	Bayern
K0287	Berlin
K0288	Berlin
K0289	Berlin
K0290	Thüringen
K0291	Baden-Württemberg
K0292	Sachsen
K0293	Brandenburg
K0294	Hessen
K0295	Nordrhein-Westfalen
K0296	Bayern
K0297	Berlin
K0298	Berlin
K0299	Berlin
K0300	Sachsen
K0301	Nordrhein-Westfalen
K0302	Baden-Württemberg
K0303	Baden-Württemberg
K0304	Berlin
K0305	Baden-Württemberg
K0306	Hessen
K0307	Baden-Württemberg
K0308	Hamburg
K0309	Baden-Württemberg
K0310	Bayern
K0311	Niedersachsen
K0312	Brandenburg
K0313	Thüringen
K0314	Nordrhein-Westfalen
K0315	Bayern
K0316	Baden-Württemberg
K0317	Nordrhein-Westfalen
K0318	Sachsen
K0319	Nordrhein-Westfalen
K0320	Baden-Württemberg
K0321	Thüringen
K0322	Bayern
