Alter,Einkommen,Geschlecht,Zeit,KundeNr,Preis
30,39919,0,29,K1814,
41,53430,0,27,K1544,
64,73163,0,32,K1945,
41,36761,0,44,K1825,
35,42684,1,33,K1144,
67,63881,1,27,K1395,
46,68885,0,59,K1405,
63,63083,0,40,K1438,
30,55256,1,31,K1313,
32,44873,0,44,K1241,
66,75200,0,35,K1242,
61,59560,0,37,K1801,
66,90643,1,25,K1590,
68,80553,0,56,K1349,
39,42543,1,30,K1449,
40,33126,0,34,K1958,
44,62175,1,33,K1726,
49,51900,0,40,K1758,
48,59967,1,21,K1991,
36,33884,0,49,K1215,
66,67587,1,37,K1399,
31,38844,1,21,K1552,
61,66782,0,25,K1297,
40,54891,0,46,K1787,
49,59388,0,21,K1643,
62,92892,0,14,K1924,
36,36252,1,46,K1135,
45,54233,1,37,K1778,
64,84876,0,34,K1168,
50,60708,0,44,K1501,
45,54500,0,30,K1982,
31,34101,1,46,K1246,
50,55260,0,46,K1898,
52,71014,1,21,K1340,
34,53036,0,46,K1309,
67,79728,1,22,K1725,
31,26637,1,30,K1128,
38,48808,1,54,K1303,
46,61964,0,57,K1947,
31,27594,0,49,K1844,
68,83333,1,33,K1225,
48,54207,0,45,K1582,
40,65585,0,43,K1942,
37,39421,1,38,K1895,
69,108569,1,47,K1467,
69,91624,1,21,K1191,
43,67392,0,45,K1172,
52,68557,0,27,K1455,
37,51083,0,41,K1315,
51,52205,0,42,K1764,
68,96580,0,30,K1553,
63,80825,1,50,K1925,
63,56999,1,50,K1465,
66,64794,1,35,K1907,
50,75601,0,31,K1385,
35,32469,1,24,K1690,
53,51711,1,37,K1175,
62,75231,1,44,K1404,
39,37428,1,37,K1316,
53,75785,0,49,K1149,
39,30485,1,44,K1513,
60,70853,1,30,K1551,
41,57516,1,39,K1531,
37,66419,1,28,K1273,
45,62279,1,27,K1301,
52,70297,0,51,K1877,
37,65034,1,44,K1177,
36,41668,0,40,K1527,
43,49480,1,23,K1637,
54,56292,1,36,K1696,
67,78307,0,35,K1417,
37,43614,1,34,K1416,
49,76602,1,19,K1994,
42,58051,0,25,K1940,
46,51857,1,44,K1938,
68,79291,0,36,K1710,
70,76105,0,25,K1872,
58,68691,1,37,K1644,
43,48849,0,36,K1462,
65,92223,1,41,K1359,
69,85613,1,28,K1371,
47,53430,1,30,K1171,
41,34560,0,34,K1424,
38,46846,0,46,K1883,
44,53482,1,33,K1279,
35,29395,1,28,K1598,
40,68282,1,15,K1320,
45,66573,0,52,K1414,
39,44825,0,45,K1927,
38,40638,1,46,K1355,
61,75680,1,42,K1270,
37,39528,1,19,K1646,
32,44270,1,45,K1730,
70,74005,0,42,K1493,
34,43060,1,32,K1181,
60,71786,1,36,K1386,
48,60260,0,30,K1817,
37,45165,1,36,K1443,
68,98083,1,22,K1432,
44,43990,1,35,K1426,
48,54965,1,30,K1650,
53,53797,1,24,K1695,
61,75646,1,45,K1396,
67,85750,0,41,K1570,
49,49362,0,36,K1919,
40,39581,1,5,K1547,
53,72005,0,27,K1775,
50,64799,1,35,K1567,
54,73773,1,23,K1391,
49,51990,1,29,K1314,
40,62840,0,35,K1774,
30,46686,1,36,K1332,
35,42664,0,34,K1954,
65,78027,1,12,K1617,
54,54771,0,26,K1632,
61,79526,1,62,K1981,
36,32281,1,52,K1201,
32,31010,0,42,K1397,
68,78362,0,21,K1428,
51,56457,0,28,K1841,
68,74860,0,20,K1634,
54,68635,0,29,K1323,
61,61246,0,45,K1380,
